"Gene"	"CC02.17F1a"	"CC06.09F1a"	"CB21.03F1a"	"CC03.15F1a"	"CB05.15F1a"	"CC20.13F1a"	"CB07.01F1a"	"CB20.13F1a"
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_135"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_136"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_137"	0	0	0	0	0	0	1	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_138"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_139"	0	0	0	0	0	0	1	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_140"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_141"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_1"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_2"	0	0	1	0	0	0	1	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_3"	0	0	1	0	0	0	1	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_4"	0	3	35	0	0	0	2	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_5"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_6"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_7"	0	1	0	0	0	0	1	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_8"	0	0	4	0	0	0	0	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_9"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_10"	0	0	1	0	0	0	0	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_11"	0	0	5	0	0	0	1	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_12"	0	0	4	0	0	0	0	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_13"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_14"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_15"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_16"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_17"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_18"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_19"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_20"	0	0	1	0	0	0	0	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_21"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_22"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_23"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_24"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_25"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_26"	0	0	2	0	0	0	0	0
